,sedentary,LPA,MPA,VPA,steps,active
188,581,256,27,63,13174.0,4
189,743,149,19,65,14587.0,4
190,539,174,27,128,19255.0,4
191,516,271,5,92,16951.0,4
192,665,221,34,94,21567.0,4
193,640,164,21,134,11000.0,3
194,709,138,33,107,23554.0,4
195,520,188,41,138,15790.0,4
196,616,164,9,135,20847.0,4
197,403,182,63,165,5759.0,1
198,554,265,0,0,19403.0,4
199,531,135,8,171,10691.0,3
200,499,239,31,46,16999.0,4
201,545,152,25,137,13861.0,4
202,598,168,21,112,8828.0,2
203,648,103,30,62,16041.0,4
204,622,190,9,127,14366.0,4
205,675,130,3,123,16394.0,4
206,634,158,16,143,7116.0,1
207,697,151,31,23,11031.0,3
208,709,176,6,74,7209.0,1
209,632,223,26,6,16883.0,2
210,480,147,38,88,15656.0,4
211,543,264,25,137,16709.0,4
212,689,198,23,84,12504.0,4
213,622,199,18,110,13082.0,4
214,601,239,12,60,10342.0,3
215,596,209,7,70,17138.0,4
216,528,217,39,134,14325.0,4
217,446,170,25,117,11119.0,3
218,700,148,30,115,19788.0,4
219,669,225,24,106,13415.0,4
220,646,226,21,97,18350.0,4
221,658,144,4,163,10000.0,3
222,695,173,9,58,13252.0,4
223,679,121,18,113,15075.0,4
224,613,144,18,122,11924.0,3
225,710,162,34,93,14777.0,4
226,665,153,17,78,10352.0,3
227,595,284,29,76,14818.0,4
228,599,242,34,97,13087.0,4
229,639,305,18,27,17005.0,4
230,692,209,49,82,19254.0,4
231,579,142,28,105,10129.0,3
232,604,202,27,88,14586.0,4
233,616,157,8,70,15215.0,4
234,576,258,36,105,12037.0,3
235,583,167,9,86,12250.0,3
236,582,215,3,80,12368.0,3
237,719,119,14,104,16326.0,4
238,535,213,22,138,16302.0,4
239,591,282,22,72,17495.0,4
240,561,214,50,95,13214.0,4
241,545,291,31,35,15784.0,4
242,669,180,22,142,17029.0,4
243,654,201,19,140,9556.0,2
244,633,188,33,55,15059.0,4
245,617,123,22,94,4348.0,0
246,708,201,0,0,14919.0,4
247,574,174,57,84,13852.0,4
248,649,219,29,65,13446.0,4
249,649,182,15,76,14044.0,4
250,687,161,27,87,19953.0,4
251,633,151,23,121,6658.0,1
252,536,269,4,3,14382.0,4
253,677,166,27,104,17397.0,4
254,472,137,54,151,15571.0,4
255,557,169,13,131,14774.0,4
256,694,174,25,103,20054.0,4
257,585,157,17,172,14646.0,4
258,442,202,62,117,19967.0,4
259,507,146,59,103,13130.0,4
260,734,197,12,73,11479.0,3
261,735,195,41,42,17773.0,4
262,482,245,61,108,11439.0,3
263,730,211,16,45,17036.0,4
264,584,225,30,123,18784.0,4
265,546,238,34,153,15142.0,4
266,603,214,34,111,10536.0,3
267,799,204,23,45,12410.0,3
268,1143,188,30,79,10310.0,3
269,579,156,22,62,21591.0,4
270,612,195,27,156,30146.0,4
271,510,105,37,263,11091.0,3
272,734,173,9,51,10180.0,3
273,732,292,10,30,7829.0,2
274,672,260,12,11,9485.0,2
275,718,156,35,44,15572.0,4
276,1085,188,35,95,15689.0,4
277,589,196,49,132,17184.0,4
278,580,225,28,147,19207.0,4
279,470,168,41,193,6769.0,1
280,656,227,29,48,12205.0,3
281,628,178,4,135,12505.0,4
282,620,168,20,136,16445.0,4
283,551,152,14,181,13140.0,4
284,584,106,29,153,15865.0,4
285,676,131,11,115,8490.0,2
286,587,280,30,20,9364.0,2
287,505,171,75,154,8809.0,2
288,768,156,3,55,5877.0,1
289,654,213,5,84,10294.0,3
290,690,141,5,67,4076.0,0
291,755,137,10,13,8976.0,2
292,506,226,38,84,6581.0,1
293,648,160,10,119,13796.0,4
294,565,211,24,92,5241.0,1
295,580,186,10,104,9841.0,2
296,628,228,39,47,0.0,0
297,1440,0,0,0,8725.0,2
298,1266,133,23,18,16612.0,4
299,629,234,37,77,6010.0,1
300,373,173,13,10,8845.0,2
301,660,168,9,39,10527.0,3
302,682,139,28,48,16672.0,4
303,632,184,20,132,9928.0,2
304,549,142,19,42,6067.0,1
305,670,101,6,29,1146.0,0
306,826,65,0,0,17345.0,4
307,573,175,32,75,23292.0,4
308,376,192,42,124,5977.0,1
309,876,78,11,47,9814.0,2
310,557,133,32,61,10753.0,3
311,774,128,14,61,11064.0,3
312,759,164,9,46,514.0,0
313,819,36,0,0,16616.0,4
314,1440,0,0,0,10993.0,3
315,1440,0,0,0,11020.0,3
316,1105,172,54,109,7162.0,1
317,764,165,22,46,13555.0,4
318,679,223,12,30,12952.0,4
319,709,164,11,23,1223.0,0
320,650,231,15,41,9042.0,2
321,455,186,22,63,17335.0,4
322,935,70,0,0,10756.0,3
323,560,162,27,84,9290.0,2
324,694,163,41,103,17971.0,4
325,733,145,9,52,54.0,0
